S20902020014 05262978170081251022100236128128          0526297817                                                               
D201202510220863092   0114987155152074´ÙÃÞ¶Ù¼Ä-Ù¶Ìß¾Ù0.75U0.75UG PTP    100CAP00001000001698000001698000019302803  D0883        
D201202510220863092   0214987233102878½-¸Þ×¼ÞÖ³50MG         50MG PTP      100T00001000013174000013174000149702709  24094Y1      
D201202510220863092   0314987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002156000002156000024222712  589018       
D201202510220863092   0414987901129800ÄÞ·»¿Þ¼Ý¼ÞÖ³1MG¢VTRS   1MG PTP      100T00001000000925000000925000010402712  MG9091       
D201202510220863092   0514987901008303ÉÙÊÞ½¸¼ÞÖ³5MG          5MG PTP      100T00001000001220000001220000013702805  MR6274       
D201202510220863093   0114987081181490Ëßµ¸ÞØÀ¿ÞÝ¼ÞÖ³30MG¢D  30MG PTP      100T00001000001869000001869000021002704  N3A0057      
D201202510220863093   0214987116530347ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³500M 500MG PTP      100T00001000000852000000852000010402707  77140        
D201202510220863093   0314987155165586ÒÎËÞÙÊ²ºÞ³¼ÞÖ³LD¢Ä-Ü       PTP      100T00001000002077000002077000023602803  D0006        
D201202510220863093   0414987155165722ÒÎËÞÙÊ²ºÞ³¼ÞÖ³HD¢Ä-Ü       PTP      100T00002000002050000004100000023302804  D0013        
D201202510220863093   0514987081186907Û½ÊÞ½ÀÁÝ¼ÞÖ³2.5MG¢DS 2.5MG PTP      100T00001000000925000000925000010402709  94140        
D201202510220863094   0114987387591429½ÁÂ¸¾ÞÉ-ÙA                        40GX1000001000001299000001299000014482807  508251       
D201202510220863094   0214987188412176Ó-×½Ã-ÌßL40MG          10X14CM    7Ï²X1000001000001719000001719000019322707  C814U        
D201202510220863094   0314987081189960Û·¿ÌßÛÌ´ÝNAÃ-Ìß100MG     100MG    7Ï²X1000001000001057000001057000012322805  60825        
D201202510220863094   0414987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500002000001081000002162000000003004  RS7E11B-1    
E200000160000142510221002                                                                                                       
