S20902020014 05262978170148251110110248128128          0526297817                                                               
D201202511100894195   0114987058173381±ÙÌ±¶Ù¼ÄÞ-Ù¼ÞÖ³1.0UG 1.0UG PTP      100T00001000000553000000553000006102805  2520         
D201202511100894195   0214987080737414²º»ÍßÝÄ»Ý´ÁÙØÕ³¼ÞÖ³¶     900MG      84Î³00001000003144000003144000034612710  X24X54       
D201202511100894195   0314987080267461µ¾ÙÀÐËÞÙ¶Ìß¾Ù75MG¢»Ü  75MG PTP     10CAP00001000001013000001013000011162610  120X04       
D201202511100894195   0414987081187171µÙÒ»ÙÀÝOD¼ÞÖ³20MG¢DS  20MG PTP      100T00001000001556000001556000018002803  OMA4151      
D201202511100894195   0514987080197010¶Ó½ÀÂÄÒ¼Ù»Ý´Ý¼ÞÖ³100 100MG PTP      100T00003000000908000002724000010002802  525203       
D201202511100894196   0114987440442019¸´ÝÒÂÄÊ²ºÞ³¼ÞÖ³            PTP      100T00001000000553000000553000006102802  5095         
D201202511100894196   0214987185809900¼ÞÔÇËÞ±¼ÞÖ³50MG       (¶Â¾Ý²Ø) PTP  100T00001000007044000007044000082102702  Z013531      
D201202511100894196   0314987081186518ÃÙÐ»ÙÀÝ¼ÞÖ³40MG¢DSEP  40MG PTP      140T00001000002156000002156000024222801  589019       
D201202511100894196   0414987770529800ÊßÙÓÃÞ²±XR¼ÞÖ³0.2MG  0.2MG PTP      100T00001000005340000005340000060002806  LD5I         
D201202511100894196   0514987155165241ËÞÙÀÞ¸ÞØÌßÁÝ¼ÞÖ³50MG  50MG PTP      100T00001000001546000001546000018402805  D0034        
D201202511100894197   0114987081185740Ì´ÌÞ·¿½ÀÂÄ¼ÞÖ³20MG¢D  20MG PTP      100T00001000000924000000924000010402801  20238        
D201202511100894197   0214987171659304ÒºÊÞ×ÐÝ¼ÞÖ³500UG¢SW£ 500UG PTP     1000T00001000005299000005299000059002709  724852       
D201202511100894197   0314987116530316ÒÄÎÙÐÝ´Ý»Ý´Ý¼ÞÖ³250M 250MG PTP      100T00001000000869000000869000010402711  F7T01        
D201202511100894197   0414987155165722ÒÎËÞÙÊ²ºÞ³¼ÞÖ³HD¢Ä-Ü       PTP      100T00001000002050000002050000023302806  D0024        
D201202511100894197   0514987080670018×ÍÞÌß×¿Þ-ÙNA¼ÞÖ³10MG  10MG PTP      100T00001000002019000002019000024002711  724Y04       
D201202511100894198   0114987350607935ÅÉÊß½Æ-ÄÞÙ2 34GX4MM    TN-3404      70ÎÝ00003000001145000003435000000003007  250805J      
D201202511100894198   0214987616003631ÍßÝÆ-ÄÞÙ Ìß×½ 32G      32G 4MM    14ÎÝX500001000001081000001081000000003006  RS7G11B-1    
D201202511100894199   0114987616002467ÉÎÞ×ËßÂÄÞÁÕ³ÌÚÂ¸½ÍßÝ      300U     3MLX200003000002314000006942000025862701  RT6HF54      
D201202511100894212   0114987081189700¶Þ×ÝÀÐÝOD¼ÞÖ³8MG¢DSE   8MG PTP       56T00002000001187000002374000013502710  BB2B073      
E200000210000192511101102                                                                                                       
